
Statistic  Placebo (N=8)  Active treatment (N=8)  All patients (N=16)
---------  -------------  ----------------------  -------------------
N          8              8                       16
MEAN       47.7287671     46.0219178              46.8753424
STD        10.0963120     9.09698988              9.32555101
MIN        31.2246575     32.6767123              31.2246575
MAX        62.4164383     58.5726027              62.4164383
Female     4(50.0%)       4(50.0%)                8(50.0%)
Male       4(50.0%)       4(50.0%)                8(50.0%)
Asian      2(25.0%)       1(12.5%)                3(18.8%)
Black      2(25.0%)       2(25.0%)                4(25.0%)
Hispan     1(12.5%)       1(12.5%)                2(12.5%)
White      2(25.0%)       3(37.5%)                5(31.3%)
Other      1(12.5%)       1(12.5%)                2(12.5%)
